한번,7
쓸다,4
생각,7
카드,3
값,1
주다,11
체리,1
지출,1
#위례맛집,1
워낙,2
튼튼하다,1
입맛,2
지다,3
모르다,2
동면,1
들어가다,5
곰,2
돌아서다,1
초입,1
정겹다,1
움,1
아름답다,1
정자,1
사이,1
곁,1
댕기,1
머리,1
처녀,1
tag,1
다음,4
블로그,3
한국,2
민속촌,2
외,2
줄타기,1
설,3
명절,1
이웃,2
님,4
세배,1
스포츠인,1
스키,1
보드,3
즐기다,1
위해,4
곤지암,2
리조트,2
스키장,2
관광객,1
모여들다,1
대한,2
관심,1
높아지다,1
인근,1
렌탈샵,1
좋다,16
#냄새,1
또한,1
#군침을,1
돌다,1
#옛,1
잠기다,1
#군밤과,1
#계란에,1
쌀밥,1
만들다,5
도전,1
#후기를,1
올리다,4
#기대해,1
줄다,1
☺,1
그래도,2
지리산,3
하동,1
여행,4
여행지,1
지난번,1
많이,11
수업,1
굳이,1
롯데,1
백화점,2
걸어가다,2
3000원,2
어치의,1
건,6
죽다,1
페레,1
파파,1
스프,4
"6,900원",2
한우,1
포,1
타,3
벨라,1
크리미,2
어니언,2
챠우더,2
"5,500원",2
바질,1
페스,2
토,13
"15,000원",1
6,3
홋카이도,1
대학,1
지키다,1
조,2
p,1
짧다,1
산책,1
커피타임,1
#바리스타트커피,1
사진,5
매우,1
핸섬,1
바리스타,1
라떼,3
내다,3
마카롱,2
빵,2
종류,2
대체,1
사실,2
칼로리,1
경우,4
소량,1
손,4
다크,1
역시,1
동생,1
반값,1
사서,6
댕김,1
일요일,1
알바,2
중간,4
치즈,1
베이글,1
최고,2
1일,3
1,8
팩,5
딱,2
중국,1
칭,1
구가,1
구석구석,1
대추,1
열대과일,1
다양하다,8
재미있다,2
식사,2
지식,1
한국인,1
맞추다,1
알맞다,1
저희,2
한인,1
싸다,1
파다,2
새우,1
비롯,1
각종,2
해산물,1
한자리,1
청과,1
물,2
코너,1
저렴하다,5
구정,1
앞두다,1
해도,1
스위스,1
⠀,2
자그레브,1
거의,3
갖추다,1
모습,2
크리스마스마켓,1
볼,5
내리다,1
표현,1
세심,1
함좀,1
15,3
쿠나,1
회,3
오리,2
감자,3
길거리,3
장사,4
심심,1
치,13
띄다,2
없이,2
공통,1
뭔가,2
그립다,1
증거,1
난로,1
불,2
때문,3
주인,1
어르신,1
밥,5
다행하다,1
건네다,1
후식,1
허브,1
향기,1
가게,2
가도,1
짱,2
하늘,1
맑다,1
완벽하다,1
보령,1
쵝오,1
불위,1
쟁반,1
뿐,6
신기하,1
쥬,2
앙,1
달달,1
부드럽다,2
개,4
씩,2
ㅋㄷㅋㄷ,1
다,13
놀리다,1
우울하다,1
청계천,1
트리,1
#아크앤북,1
넘다,7
스타일,1
열,3
ㅠ,2
맨날,2
옛날,2
땐,1
봤더랬,1
내부,1
예쁘다,4
파리,2
라파예트,1
루이비통,8
매장,1
줄이다,1
서다,2
대략,1
15~30분,1
옥수수,3
팔고,3
시,3
미트,1
존맛,2
사드,1
걸다,13
바클라바,1
구경,3
엄마,1
이스탄불,1
만난,1
방탄,1
가방,4
목,1
살이,1
백숙,1
준비,3
즐겁다,3
하루,5
마무리,1
조만간,1
빙어,7
낚시,2
나가다,2
아이,8
엄청,7
츄러스,2
아저씨,5
공짜,1
해주다,2
영업,1
당하다,1
친절하다,1
기분,3
병원,1
찰옥수수,1
돌아가다,2
사오다,2
꼬박꼬박,1
퇴원,1
부모님,1
보내다,3
지에스,1
대충,2
끼니,1
과자,4
출출하다,1
츄앤,1
리얼,1
그저,1
야하다,2
재,2
나르다,4
패딩,3
구멍,1
날다,1
조마조마하다,1
얼굴,3
타다,4
줄,3
어따,1
오빠,1
떨이,1
런가,1
내일,2
걸루,1
에잇,1
곧,2
이래저래,1
조심하다,3
해넘이,2
석양,1
청동,1
쉬임,1
먹이,1
활동,1
오전,3
아버지,3
점심식사,2
오후,2
밖,1
겟,1
봉지,4
5천원,3
실하다,1
입,37
가득가득,1
보들보들,1
아기,2
시댁,1
운영,3
참고,2
민속놀이,1
가래떡,4
달고나,4
여러,1
이벤트,5
홈페이지,2
도움,4
대구,3
모자라다,1
써다,4
갖다,2
헤어스타일,1
망가지다,1
날씨,3
미니,2
스커트,2
고집,1
여성,3
분들,2
이해,2
완전,2
조리,1
반찬,1
국,1
뿌빳퐁,1
커리,1
홍초,3
김,3
앞치마,1
머그컵,1
우유,1
딸기,2
곁들이다,1
PT,1
를,1
통해,5
중요성,1
되새기다,1
조금,2
서투르다,1
근력,1
자세,2
요령,3
익히다,5
재산,1
얻다,1
건강,3
먹을랭,1
#고구마에그슬럿,1
#다이어트,1
#레시피,1
요리,1
카테고리,1
신설,1
파스타,1
아직,2
부족하다,1
한참,1
멀다,1
에그,1
슬럿,1
뭐라다,1
아무,1
거나,1
대신,1
그거,1
껍질,2
생밤,1
까먹다,2
조심,3
걍,1
숙소,2
전자렌지,1
대박,1
포스팅,1
방문,2
가보다,3
숲,2
레저,1
시설,1
튀김,1
비,13
우리,4
애,2
썰매,2
순식간,1
돈,3
거기,2
오뎅,3
라면,3
커피,5
여,2
성암,1
28%,1
인,2
3만,1
4255,1
명,5
갑상선암,2
흥부,1
투,1
받다,8
추산,1
코트,1
자연,1
최근,1
과잉,2
진단,1
수술,3
여부,3
김치찌개,1
반,9
카레,1
먹기,4
실패하다,2
참치,2
캔,2
일주일,1
없애다,1
목표,2
백설기,1
필요,1
일,2
야야,2
유리하다,1
조건,1
필요하다,4
담보,2
위주,1
약수터,1
주근깨,1
구성,1
하,15
고자,1
의료,10
실비,6
보험,37
비교,14
사이트,8
빙,3
인내,1
천,2
용하다,1
노을,1
..,4
.#공주밤막걸리,1
알밤,2
0.04%,1
서운하다,1
달래다,1
굽,1
지역,1
울주군,1
명품,5
#태화루막걸리,1
두,4
노량진,1
고시생,1
동치미,1
질병,2
보험료,10
또는,1
실손,1
가입,11
작,3
국민,2
급여,2
적용,1
관계없이,1
백두산,1
꼬꼬,1
밍,1
기관,1
지불,1
젖다,1
대,4
근교,1
행사,1
진행중,2
랍니,1
종일,1
놀다,7
다이소,2
오천원,1
간지,1
쿄쿄,1
1년,3
에,2
번만,1
만나다,6
친구,3
성현,1
술집,1
잔나,1
민영,1
메다,2
모든,2
손해,2
보험사,2
프,2
군대,2
생명,1
나이,3
성별,1
연초록,2
직업,1
따르다,2
계산,2
제공,1
5,1
충주,2
장,6
위치,2
동,3
농협,1
경,2
사업,2
하천,1
기간,2
10일,1
10시,1
.#다이어트,1
#식단일기,1
카페,5
근무,1
12시간,1
식단,1
아침,3
새다,2
리,1
갈릭,1
소스,1
점심,1
곶감,1
크림,1
초코,1
프라,6
페,4
저녁,5
갈비,1
김치,1
야식,1
젤리,2
90분,1
정차,1
눈꽃,1
기차,1
열차,1
오랜,4
머무르다,1
기도,3
역다,1
산타,1
여행객,1
문의,1
생각나다,1
#비스카에어프라이어에,1
해먹,3
어,1
구울,1
아시,1
선물,2
덕분,1
그저께,1
이기,3
80,1
퍼센트,1
세우다,1
그걸,1
습관,1
들이다,1
국물,1
ㅎㅎ,8
안나,1
네,2
써비,1
메뉴,3
사람,7
좀,2
조기,1
찍다,3
아쉬움,1
인스타,1
감성,2
포토,1
존,1
쌍촌,1
오월,1
문,2
어마,2
마,2
손가락,1
충격,1
깜찍하다,1
지금,3
한결같이,1
고맙다,1
ㅇㅂ,1
#홍대,1
#연남동뻥튀기,1
해봤다,1
꿀떡,1
사장,2
방방,1
점프,1
계속,6
뛰다,1
롯트하,1
종신,2
대비,2
두다,2
다이빙,1
블,1
보험금,1
지급,1
경제,1
소,6
림,1
어려움,2
덜다,1
드릴,37
딩동,1
다이렉트,8
꼬꼬밍제,1
어사,1
태아,4
LIG,1
밉다,2
죤,1
순위,3
활용,1
꼼꼼하다,2
따지다,1
내용,3
터,12
선천성,1
이상,1
관련,1
미숙아,1
저체중,1
태어나다,1
돌격,1
1시간,1
30분,2
따흐흑,1
ㅠㅠㅠ,3
출근,1
퉤,1
졸라,1
이제야,1
듣다,1
겸,2
싸,1
누가,1
어도,1
김유,1
작곡,1
정보,3
대입,1
견적,3
서비스,2
확인,8
메이트,1
다방면,1
체크,1
더머,1
므흘,1
어린이,3
순,2
보장,11
형,4
조회,1
어리다,2
터지다,1
삶다,3
내야,1
후추,1
반갑다,1
맞다,3
녀석,1
요염,1
반하다,1
꼬깜,1
학교,1
ㅋ,5
팔,5
토시,1
체인,3
m.blog.naver.com,1
드디어,1
신발,14
낡다,1
운동화,1
2년,1
동안,3
신다,1
블랙,1
장만,1
만해,1
놓다,2
더러,1
첫,5
눈물,1
웃다,2
눈길,1
사랑,1
늘다,5
달다,1
온라인,2
가나다,1
어느,1
붙이다,1
차안,1
ㅡ,1
2019,1
공주,2
그날,1
반석동,1
맛집,2
최고봉,1
낙지,1
볶음,2
파전,1
피즈,1
도라지,1
자신,1
적합하다,1
특약,5
무엇,2
사전,1
혈,3
도너츠,1
현명하다,1
신중하다,1
바라다,2
북한,1
보배,1
자동차,12
한창,1
빠지다,3
찌,1
악사,1
유닉,1
이유,1
운전,2
파이어,1
떼,1
진료,1
진,1
단비,1
입원,3
통원,1
치료,3
제비,1
나래,1
응급실,1
키,3
키라,1
고액,1
팩앤,1
세이브,1
껀데,1
버,1
9시,1
반부터,1
쉬는시간,1
점심시간,1
먹음,1
튜,1
꽃동산,1
선포,1
항상,2
갱신,2
마다,1
속돌,1
흑,1
빛더,1
상품,80
명사,1
나은,1
상하이,1
럭상세,1
겁니다,1
세로,1
중고차,1
잎,1
바로가기,4
런처,1
츄츄,1
동부,1
화재,1
자,2
꽃다발,1
뚜쉬,1
슈,1
개념,1
소개,39
해드리다,2
발생,1
꿀꿀,1
지원,1
항목,2
일로,1
전자,1
적다,1
환자,1
책임지다,1
스내치,1
고무줄,1
비다,2
올라가다,1
투데이,1
대표,2
종종,1
호박꽃,1
유황,1
상해,2
및,2
첫날,1
주말,1
쌓다,1
가족,2
끼리,3
춥다,3
남,3
해상,1
암,4
용맹,1
펴다,4
한눈,1
르윈,1
케이,1
에듀,1
카,1
괜찮다,1
멘사,1
큰일,2
질뿡,1
해이,1
자동차보험입니다,1
철,1
치아,4
문제,2
말다,1
춤,1
음식,1
씹다,1
고통,1
댕,1
칰,1
촉대,1
부분,2
뒤늦다,1
치과,2
찾아가다,1
침엽수,1
기획,1
힙합,3
비싸다,2
앗,1
얼마나,1
기품,1
차라리,1
백혈구,1
맥주,1
프링글스,1
환상,1
이양,1
록스,1
언니,4
언덕,1
내려오다,1
귀금속,1
거리,3
증말,1
화려하다,1
피렌체,1
소가,1
예술,1
앞서,1
궁금하다,2
점,2
신,37
더셀,1
전문가,2
일대일,1
상담,3
검링,1
빙고,1
TMI,1
가체,1
원두,1
용한,1
떡,2
주관,1
백업,1
가격,1
씨실,1
단순하다,1
보이,1
페어,1
글로리,2
범위,1
구조,1
은유,1
꾼,2
템프,1
부작용,1
걱정,2
안정,1
성과,1
20분,1
주,4
빠르다,1
강력하다,1
효과,2
이용,1
계시,1
5년,1
연속,1
고객,1
만족,1
달성,1
안개,1
산삼,1
파닭,1
선비,1
함,1
고,2
벌써,1
소문,1
자자하다,1
세찬,1
빠뜨리다,1
쌍둥이,1
마리,1
나란하다,1
눕다,1
따로,1
얌전하다,1
감다,1
지경,1
지영,1
돌,1
태운,1
잔불,1
쫒다,1
겨,1
정리정돈,1
조용하다,1
동네,1
지나가다,1
업무,1
자라다,1
시골,2
뒤꼍,1
밤나무,1
감나무,1
겉껍질,1
벗기다,1
죽,1
쑤다,1
장작,1
구어,1
#연자육,1
처음,3
눈썰매,1
봅슬레이,1
조롱박,2
공예,2
놀,2
17일,1
까지,1
열리다,1
임신,1
학정,1
마을,2
전북,1
임실군,1
킹,1
설계,2
수수료,2
부대,1
비용,1
기본,2
하니,2
안내,1
효율,1
적임,1
잡기,1
포차,1
푸드,1
트럭,1
떡볶이,1
꼬치,1
솜사탕,1
열심히,2
잡다,1
행복하다,3
사주다,1
상미,1
커플,2
뽀글이,1
사면,1
담다,3
짜다,1
여기다,1
비닐,1
포장,4
깔끔하다,1
안해,1
이렇다,3
씌우다,1
시베리아,1
듯,1
자꾸,1
반대,1
쫓아가다,1
징징,2
징,1
태우다,1
엄호,1
중인,1
듬직하다,1
50,3
센치,1
fit,1
추어,1
핫팩,1
눙무,1
제일,1
크리스마스,3
닫다,1
부러,1
일단,2
이브,1
백,27
옴,1
은혜,2
컨셉,1
존나,1
시키다,38
창피하다,1
루이보스,1
꽃차,1
₩,1
"6,000",1
주전자,1
이쁘다,1
색도,1
짱짱,1
성,2
자극,1
새해,1
코스트코,1
부스,1
새롭다,1
여러가지,2
방법,3
도로,3
계시다,4
인데,1
잔뜩,1
고생,1
학생,4
요금,1
왕복,1
32유로,1
치다,4
아마,1
스페인,1
포르투갈,1
볼때,1
퇴근,3
토리,1
씻기다,1
정신,2
뜸,1
꾸다,2
쏭,1
2018,1
10,1
03,1
수요일,1
번,1
쉬다,3
조각,1
낙시,1
www.welchon.com,1
#충남,1
#청양,1
#알프스마을,1
#얼음분수축제,1
#얼음썰매,1
#눈썰매,1
#군밤,2
바다,1
앞쪽,1
번데기,1
ㅜㅜㅜ,1
ㅜㅜ,2
햇빛,1
곤,1
히,1
낮잠,1
청,1
사막여우,1
닮다,1
강쥐,1
영재,1
유겸,1
염색,1
고베,1
콘,1
본가,1
덩어리,1
자기,1
모이다,1
낼,1
십년,2
강산,1
변하다,1
청년,1
해당,1
글,1
겹,1
보이다,2
구보,1
생률,1
관,3
모두,5
싫어하다,1
잠,1
꿈,2
메인,1
특별하다,1
꿀밤,1
베이스,1
진하다,1
에스프레소,1
커피한잔,1
나누다,1
#세종점집,1
일자,1
철학,1
사례,1
산건,1
둘,1
한가득,1
리포,1
